Sample; LockDetected; TextDetected; TextScore; EncryptionDetected; Comment; TimedOut; Classified files
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/38490de1df738ec988768ef79588e633d04052165866c229be0b33defe3549e6.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/0b044449bb03739f8f7d593e1e093101cac6ac4ac233746ca0f3d7162f28eb73.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/84e471ef124e9faa0db335a3211fd0a7aaf97a1516ebb3a3a9eb0398efdadb34.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/8c6106b4d70c147bc4458b589e3a4057b084d7e57679edc083a8457000afe035.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/aaf78849650c521857f10ef067aacc486c518b174569454593e363fedb5d356b.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/4d3de2103f740345aa2041691fde0878d7d32e9e4985adf6b030d2e679560118.apk; false; false; 0,000000; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,166667, Copyright: 0,000000, Moneypak: 0,158114"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/347e7e84e12ad5ee2be239eb556d17d6feabae1badc63fb993f6a2be4e6c5597.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/7b6331737dfa3357bf4c8fabdf2d6fb433cc4e8cffc61f4f4a7672329c581831.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/653c8c9777210822d14e09dfafeee95d2ab894561c80c5e811b3904e4ef2a716.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/753e446616e3efd6d6b78a19070243177d0188fe0475f5395dbac4406960ac6c.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/4e53a665b52f185f0a23b9db3f0c285acd5c110462946796bdbf6b41ada9bf7d.apk; true; false; 0,000000; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/4733f349859f4a428713d681ac4cf8e5c9e391da6a61123aaa87c695f8a0d16b.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/2efaf61b73031369cee6d1bc2c0b523cabfae85e80650fc7ed060032b7b8a7c3.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/fc42c99fe7eaa77e699f6bc29c1eeb9ddb0e80cf2720e0f0c22fdef6194a2e4d.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/fecd68faa5d383843513ac5a10a7425302a3f6f071fcfccb20185171fd155e29.apk; true; false; 0,000000; false; "Threat: 0,333333, Porn: 0,288675, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,365148"; false; {copyright=[], law=[], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/5b8364c345167644432db0677a9c1d5b740366d2214e6031e555714de6576b82.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/d72876f7f41d77c393969e972d66e2509246598d8dc5c4bc2977d9d49da87d25.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/2db3f60e5b8f60bc28404e2550103c9a6fb9b8f7cb5803017ad8a5cf37f1d1f8.apk; false; true; 1,000000; true; "Threat: 1,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,774597"; false; {copyright=[], law=[], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/b068841927f30bd01dda408cd8eb6ad4144e4530fb0ac857c9068f12e366d77c.apk; false; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 1,000000"; false; {copyright=[], law=[], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/db83841aea863e0c3bf8fd11b6568cfb43415b24f455235dec6b6ed77f94225e.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/864c7e0452de1b4344e06886b1d2b1116b138d1de6fed1f90e55f07cab250d21.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/63851de5a0d594f6297507e5281f22afdcf9f3fa177d2ccee7d5eb3004ef143d.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/3fb373be488bd20f5055e413824b45d2ab56e1949c58a867a9a68118d119c97e.apk; false; false; 0,000000; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/7d65b7af05c019deae2602779cfb65a86a23ad9578355f99765afe4f048f64bd.apk; false; false; 0,000000; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/2eceebc12adfac2c0833d06b042c8b3bd8367ae37d4fb589427d3c2619d77b36.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/760d7f38a80df69fb7c8eceed7d51ab08017dd747a1ec3cd4dc9b0343c0950aa.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
